Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate, Nationality,Team
Aaron Lennon,MF,11,509,0,1,0,5,0,0,0,0,2,3,11,0,Midfielder,1.65 m,63 kg,4/16/1987,England,EVE
Ademola Lookman,F,7,245,1,0,0,14,6,42.9,0,0,3,7,1,1,Forward,1.74 m,78 kg,10/20/1997,England,EVE
Arouna Koné,F,3,43,0,0,0,3,2,66.7,0,0,0,0,0,0,Forward,1.81 m,74 kg,11/11/1983,Ivory Coast,EVE
Ashley Williams,D,31,2708,1,3,0,15,6,40,5,1,30,9,2,3,Defender,1.83 m,71 kg,8/23/1984,England,EVE
Dominic Calvert-Lewin,F,8,210,1,0,0,4,1,25,0,0,1,5,0,1,Forward,1.76 m,64 kg,3/16/1997,England,EVE
Enner Valencia,F,17,483,3,1,0,17,6,35.3,0,0,14,10,13,3,Forward,1.74 m,74 kg,11/4/1989,Ecuador,EVE
Gareth Barry,MF,29,1947,2,1,0,15,7,46.7,9,0,45,23,31,1,Midfielder,1.83 m,79 kg,2/23/1981,England,EVE
Idrissa Gueye,MF,28,2325,1,1,0,22,5,22.7,9,0,41,45,15,0,Midfielder,1.74 m,72 kg,9/26/1989,Senegal,EVE
James McCarthy,MF,12,612,1,1,0,6,3,50,2,0,10,8,4,0,Midfielder,1.80 m,72 kg,11/12/1990,Scotland,EVE
Joel Joel,GK,18,1556,0,1,0,0,0,0,2,0,1,4,0,0,GoalKeeper,1.95 m,90 kg,6/17/1990,Spain,EVE
Kevin Mirallas,F,30,1724,4,7,0,53,21,39.6,2,0,21,20,126,4,Forward,1.82 m,72 kg,10/5/1987,Belgium,EVE
Leighton Baines,D,27,2371,2,3,2,12,5,41.7,3,0,28,25,91,0,Defender,1.70 m,70 kg,12/11/1984,England,EVE
Maarten Stekelenburg,GK,16,1414,0,0,0,0,0,0,2,0,0,1,0,0,GoalKeeper,1.97 m,92 kg,9/22/1982,Netherlands,EVE
Mason Holgate,D,13,978,0,1,0,6,3,50,2,0,11,13,33,0,Defender,1.81 m,63 kg,10/22/1996,England,EVE
Matthew Pennington,D,3,180,1,0,0,1,1,100,0,0,1,0,1,0,Defender,1.85 m,77 kg,10/6/1994,England,EVE
Morgan Schneiderlin,MF,11,789,1,0,0,5,3,60,1,0,14,7,1,0,Midfielder,1.81 m,75 kg,11/8/1989,France,EVE
Phil Jagielka,D,22,1799,3,1,0,11,5,45.5,3,1,13,24,2,0,Defender,1.80 m,87 kg,8/17/1982,England,EVE
Ramiro Funes Mori,D,23,1539,0,1,0,12,2,16.7,0,0,11,15,6,1,Defender,1.87 m,77 kg,7/1/1991,Argentina,EVE
Romelu Lukaku,F,32,2817,24,6,0,95,47,49.5,3,0,27,31,33,33,Forward,1.90 m,100 kg,5/13/1993,Belgium,EVE
Ross Barkley,MF,31,2536,4,8,0,76,28,36.8,5,0,46,35,132,8,Midfielder,1.85 m,76 kg,12/5/1993,England,EVE
Seamus Coleman,D,26,2317,4,3,0,18,8,44.4,3,0,18,26,101,4,Defender,1.93 m,67 kg,10/11/1988,Ireland,EVE
Tom Davies,MF,19,1202,2,3,0,12,4,33.3,4,0,19,31,10,2,Midfielder,1.80 m,70 kg,6/30/1998,England,EVE
Yannick Bolasie,F,13,1028,1,4,0,26,6,23.1,2,0,22,15,91,3,Forward,1.85 m,84 kg,5/24/1989,France,EVE
