Name,Team,MP,MinP,GA,GAA,PA,PKF,PK SvPct,Svs,SHT-OG,SPct,CS,SHT
Petr Cech,ARS,28,2468,33,1.18,7,7,0,84,116,72.4,8,298
Damián Martínez,ARS,2,180,3,1.5,1,1,0,5,8,62.5,1,24
David Ospina ,ARS,2,142,4,2.54,0,0,0,4,9,50,0,20
Artur Boruc,BOU,31,2790,60,1.94,2,4,50,102,163,62.6,7,451
Adam Federici,BOU,2,180,3,1.5,0,1,100,5,8,62.5,1,30
Tom Heaton,BUR,30,2700,40,1.33,4,5,20,127,165,77,9,546
Paul Robinson,BUR,3,270,7,2.33,0,0,0,10,19,58.8,0,54
Thibaut Courtois,CHE,31,2790,25,0.81,2,2,0,59,85,69.4,13,264
Asmir Begovic,CHE,1,90,2,2,0,0,0,1,3,33.3,0,9
Wayne Hennessey,CRY,23,2070,35,1.52,2,2,0,73,112,65.2,6,315
Steve Mandana,CRY,9,810,17,1.89,0,0,0,24,43,58.5,0,118
Joel Joel,EVE,18,1556,17,0.94,2,2,0,48,69,69.6,9,201
Maarten Stekelenburg,EVE,16,1414,20,1.27,1,3,66.7,35,56,63.6,2,179
Eldin Jakupovic,HUL,18,1620,30,1.67,3,4,25,63,94,67,3,292
David Marshall,HUL,15,1350,37,2.47,7,7,0,56,93,60.2,0,272
Kasper Schmeichel,LEI,24,2127,37,1.54,3,3,0,82,121,67.8,6,355
Ron-Robert Zieler,LEI,9,753,16,1.91,0,0,0,18,33,52.9,1,104
Simon Mignolet,LIV,23,2070,28,1.22,2,4,50,43,71,60.6,5,199
Loris Karius,LIV,10,900,12,1.2,1,1,0,20,32,62.5,3,69
Claudio Bravo,MCI,21,1890,26,1.24,0,1,100,32,59,54.2,5,170
Willy Caballero,MCI,11,990,9,0.82,2,3,33.3,19,28,67.9,4,86
Víctor Valdés,MID,28,2520,36,1.29,3,3,0,80,118,67.8,8,386
Brad Guzan,MID,4,360,3,0.75,0,0,0,12,15,80,2,54
David De Gea,MUN,30,2700,24,0.8,4,4,0,59,82,72,12,266
Sergio Romero,MUN,1,90,0,0,0,0,0,4,4,100,1,9
Fraser Forster,SOU,31,2790,40,1.29,6,8,25,59,103,59.6,11,346
Lee Grant,STK,28,2520,34,1.21,0,0,-,90,123,73.2,9,400
Shay Given,STK,5,450,34,1.21,0,0,50,19,33,57.6,0,79
Jordan Pickford,SUND,23,2070,39,1.7,2,2,0,109,150,72.7,3,433
Vito Mannone,SUND,9,810,19,2.11,2,2,0,40,59,67.8,2,139
Lukasz Fabianski,SWA,33,2970,68,2.06,5,6,16.7,101,166,60.8,5,457
Hugo Lloris,TOT,28,2465,20,0.71,1,1,0,61,81,75.3,13,251
Michel Vorm,TOT,5,415,2,0.43,1,1,0,7,9,77.8,2,37
Heurelho Gomes,WAT,32,2799,48,1.5,3,4,25,90,137,65.7,6,436
Costel Pantilimon,WAT,2,81,4,4.44,0,0,0,6,10,60,0,18
Ben Foster,WBA,33,2970,42,1.27,3,3,0,96,139,69.1,6,439
Darren Randolph,WHU,22,1980,39,1.77,3,5,40,63,104,60.6,4,289
Adrián,WHU,11,990,20,1.82,2,3,33.3,37,57,64.9,3,146
